Id,SalePrice
1461,115804.85821157298
1462,150931.23189193592
1463,172034.2757870159
1464,198561.38387264914
1465,194955.9202389214
1466,181165.5164108749
1467,198630.9246459773
1468,171054.40962950117
1469,206249.85976264506
1470,112737.48464742489
1471,204321.78074753328
1472,117658.81977252499
1473,98431.76143381046
1474,149210.65592950443
1475,117571.98470011563
1476,312201.84864996583
1477,245231.26517541448
1478,290197.0406491759
1479,270242.323655572
1480,402596.1746461252
1481,291962.9348953292
1482,215693.003806347
1483,176243.4404607513
1484,173974.32340807538
1485,196700.59458603428
1486,208636.8509325031
1487,284090.66092620627
1488,257109.24068010642
1489,183641.7034227834
1490,229897.42888308383
1491,210529.64180956592
1492,87086.21449092077
1493,216195.6372319101
1494,288102.66591672716
1495,276067.9332432132
1496,221763.2289487079
1497,168692.5961300719
1498,155041.29518407234
1499,161772.78128087008
1500,153367.2522414222
1501,199337.56599742567
1502,141590.90483089816
1503,275594.5944708639
1504,246165.90294094334
1505,224475.54632789057
1506,205026.23693413238
1507,248562.1654316175
1508,204204.00625047737
1509,152764.29348397837
1510,144667.53932265402
1511,144984.37732726033
1512,188924.3574198319
1513,165095.43136311765
1514,151342.38462415687
1515,225971.00663228144
1516,168974.18880640063
1517,173779.84895115066
1518,122124.41747792205
1519,245475.13595862823
1520,128331.29650551919
1521,121826.35484844074
1522,201288.25699226485
1523,84102.85573285492
1524,112183.80118401
1525,100782.69266953762
1526,87775.1052910753
1527,93108.12966113444
1528,154040.5916104964
1529,126320.33701607492
1530,235613.14430101376
1531,148011.50452998234
1532,108553.28967097704
1533,148404.49597428343
1534,128587.19557138416
1535,154937.7739161444
1536,105071.45251849061
1537,25314.658325169003
1538,185921.15073296707
1539,231188.28057459948
1540,106085.33370666998
1541,154423.45514071756
1542,139008.31586064212
1543,194675.32738570633
1544,74710.32109715883
1545,133379.67284285952
1546,136363.1510951512
1547,142667.6600440687
1548,138757.99663467542
1549,123729.50115577877
1550,122641.16939443117
1551,131804.75157985627
1552,128384.45019064308
1553,155356.23243085318
1554,124494.72953965724
1555,167275.74376370758
1556,75725.62965526571
1557,85887.16728542326
1558,91872.3954483089
1559,66648.40908139804
1560,125589.289843963
1561,122702.23712383397
1562,116963.88893560041
1563,117164.14239597437
1564,151343.7979662125
1565,132771.67453276645
1566,244831.7919732397
1567,58730.147664482705
1568,224170.93094106132
1569,90945.95439781924
